Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Pakistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2017/18 National accounts manual used: Combination of SNA 1968 and SNA 1993, SNA 2008 GDP valuation: Real GDP is based on factor costs whereas nominal GDP is based on market prices. Start/end months of reporting year: July/June Base year: 2005/06. Data before 2006 were extended backwards using growth rates for overall GDP and expenditure component shares of the original series. Real GDP is based on factor costs whereas nominal GDP is based on market prices. As a result, any calculated GDP deflator using these the two different concepts will not be accurate. Chain-weighted: No",888.272,933.94,986.671,"1,057.71","1,143.37","1,201.63","1,190.56","1,237.69",2018
Palau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2017/18 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 2014/15 Chain-weighted: No,0.241,0.264,0.267,0.262,0.283,0.289,0.256,0.299,2018
Panama,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. The 2007 base year publication is labelled ""preliminary""; revisions are expected in the future. The deflator in base year 2007 is not exactly 100 because of data splicing (based on recently released data for the last three years only) Chain-weighted: Yes, from 2007",82.546,88.187,93.514,100.609,106.866,111.998,110.399,117.084,2018
Papua New Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistical Office and MOF Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,25.993,28.754,30.237,31.896,32.396,34.617,34.502,36.202,2015
Paraguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No",75.778,78.925,83.182,88.946,94.467,96.306,95.949,101.732,2018
Peru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No,375.44,391.767,411.855,429.997,457.956,476.014,457.32,490.701,2019
Philippines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. National Statistical Coordination; accessed via CEIC and Haver Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No,696.35,746.284,805.918,875.925,953.288,"1,027.19","1,040.41","1,141.48",2019
Poland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2010",966.067,"1,013.60","1,055.47","1,128.45","1,215.45","1,287.28","1,236.13","1,313.57",2019
Portugal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 1980",283.966,292.064,301.047,317.471,333.783,346.926,321.199,343.835,2019
Puerto Rico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Puerto Rico Planning Board Latest actual data: 2017/18 National accounts manual used: System of National Accounts 1968 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 1954 Chain-weighted: No,130.927,130.902,130.587,129.511,126.158,130.925,123.851,128.16,2018
Qatar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Qatar Planning and Statistics Authority(from 2010); Haver and IMF staff estimates (pre-2010). Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,303.116,317.474,327.598,339.04,352.487,358.869,345.455,369.93,2019
Romania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000",399.742,419.541,444.236,484.788,518.633,549.195,525.051,556.164,2019
Russia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008. SNA 2008 for 2014 and combination of SNA 1993/2008 for 2011-2013. Prior to 2011 SNA 1993. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP prior to Q1 2016 by using the growth rates of the old series in 2011 prices. Chain-weighted: Yes, from 1995","3,894.00","3,857.64","3,908.74","4,053.81","4,257.84","4,389.96","4,176.35","4,406.63",2019
Rwanda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,19.52,21.473,22.993,24.86,27.657,30.971,32.258,35.074,2018
Samoa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018/19. Fiscal year used Notes: Data prior to 2000 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: 2012/13. Base year was updated from 2009 to 2013, affecting the data from 2009. Chain-weighted: No",0.935,0.985,1.076,1.107,1.11,1.168,1.132,1.16,2019
San Marino,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No,1.772,1.838,1.901,1.945,2.026,2.084,1.842,1.98,2018
São Tomé and Príncipe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Instituto Nacional de Estatistica de Sao Tome & Principe. Latest actual data: 2018 Notes: There is a break in the series for 2001 onwards due to revision in GDP data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008. Previously it was 2000. Manual revision to 2000 to smooth the series since the authorities did not splice and provide 2000. The rebased series begins in 2001 Chain-weighted: No,0.586,0.615,0.647,0.685,0.723,0.745,0.705,0.758,2018
Saudi Arabia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. General Authority for Statistics, Kingdom of Saudi Arabia (GSTAT) Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No","1,624.05","1,708.35","1,754.87","1,774.66","1,862.15","1,900.89","1,869.29","1,961.52",2019
Senegal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,43.457,46.705,50.188,54.921,59.839,64.101,66.438,71.451,2018
Serbia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. National Accounts are based on conceptual framework of the 2008 SNA/ESA 2010 (introduced in October 2014). GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2010",102.905,105.824,110.491,114.879,122.846,130.222,127.096,139.258,2019
Seychelles,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,2.287,2.425,2.561,2.724,2.895,3.06,2.746,3.025,2017
Sierra Leone,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2010",12.652,10.164,10.922,11.547,12.238,13.089,12.868,13.642,2018
Singapore,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008. Singapore has adopted the major recommendations of the 2008 SNA GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015",473.876,493.118,514.384,546.798,579.378,593.802,576.839,605.504,2019
Slovak Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997",155.93,165.151,170.404,178.893,190.643,198.382,187.264,200.39,2019
Slovenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",61.976,64.005,66.687,71.226,75.967,79.179,73.276,78.775,2019
Solomon Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. For data prior to 1990, the source is IMF staff estimates. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. The data for 2004 to 2006 are provided by the country authorities. For 2007 and onwards, real GDP is estimated by the staff, based on sectoral growth information provided by the Central Bank of Solomon Islands. Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No",1.163,1.205,1.256,1.327,1.412,1.455,1.433,1.516,2019
Somalia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2018 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,10.226,10.689,11.113,11.479,12.088,12.655,12.417,13.026,2018
South Africa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,713.743,729.782,740.282,764.892,789.694,804.688,762.826,808.806,2019
South Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. National Bureau of Statistics Latest actual data: 2017 Notes: Preliminary results by NBS, will be revised with time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No",23.578,23.782,20.007,19.264,19.512,22.092,23.32,24.541,2017
Spain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995","1,544.50","1,620.45","1,686.80","1,768.32","1,854.03","1,923.65","1,781.00","1,893.36",2019
Sri Lanka,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Department of Census and Statistics Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Staff used splicing method for the historical series. Chain-weighted: No,233.664,247.92,261.725,276.195,292.279,304.166,304.458,323.394,2019
St. Kitts and Nevis,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,1.417,1.446,1.502,1.5,1.582,1.656,1.532,1.695,2018
St. Lucia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No,2.42,2.447,2.557,2.697,2.835,2.934,2.702,2.944,2018
St. Vincent and the Grenadines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Real GDP at market prices begins in 2000 Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,1.191,1.22,1.256,1.292,1.352,1.381,1.327,1.425,2018
Sudan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Central Bureau of Statistics. Latest actual data: 2016. Substantial delay occurred in the regular production of national accounts data. National accounts manual used: SNA1968 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1982. Fiscal year and calendar year are the same. Chain-weighted: No,159.822,164.575,172.045,176.528,176.68,175.228,163.606,161.732,2016
Suriname,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No",8.859,8.646,8.249,8.553,8.991,9.358,8.956,9.578,2018
Sweden,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. In June 2010, the authorities performed a major revision of historical time series data 1993-2009 which involved the introduction of new methods, improved source data and a further adjustment to recommendations from the European Union Latest actual data: 2019 National accounts manual used: ESA2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 1993",459.694,485.013,501.86,523.644,548.338,564.771,529.778,568.017,2019
Switzerland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980",480.158,491.299,504.879,523.977,551.473,566.231,535.832,566.911,2019
Syria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Central Bureau of Statistics. Latest actual data: 2010 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Expenditure-based measure Start/end months of reporting year: January/December Base year: 2016. Rebased from 2011 to 2016. Chain-weighted: No,"1,093.57","1,121.15","1,157.29","1,218.12","1,282.06","1,339.81","1,293.97","1,366.00",2019
Tajikistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No,22.493,24.09,26.019,28.391,31.206,34.131,34.692,37.313,2017
Tanzania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,129.657,139.077,150.167,163.357,178.968,193.504,198.652,211.757,2018
Thailand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Economic and Social Development Board Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: Yes, from 1993. Ratio splicing for years before 1993","1,073.67","1,118.84","1,169.19","1,239.65","1,322.56","1,377.54","1,293.92","1,399.18",2018
Timor-Leste,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,1.772,1.845,1.931,1.892,1.923,2.017,2.613,2.238,2018
Togo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. for the GDP deflator, there is a little discrepancy Chain-weighted: No",10.733,11.467,12.23,13.004,13.974,14.972,15.217,16.135,2016
Tonga,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. National Reserve Bank of Tonga Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Calendar year data refer to the average of two fiscal years (July/June). For example, CY2009 is the average of fiscal years 2008/09 and 2009/10 Base year: 2010. Authority has revised the base year to FY2010/11, but we submit data as of calendar year which refers to the average of two fiscal years (July/June). For example, CY2010 is the average of fiscal years 2009/10 and 2010/11. Chain-weighted: No",0.511,0.537,0.57,0.597,0.614,0.624,0.62,0.639,2018
Trinidad and Tobago,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Trinidad and Tobago?s growth estimates for 2018 are based on full-year energy sector data from the Ministry of Energy and Ministry of Finance, preliminary national accounts data for the first 3 quarters of the year from the Central Statistical Office, and staff projections for the fourth quarter nonenergy output based on available information. Growth estimates are subject to revision once the finalized data for the full year become available. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No",44.595,45.881,43.437,43.232,44.177,44.946,43.178,45.165,2018
Tunisia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Yes, from 2010 Chain-weighted: Yes, from 2009",126.66,129.47,132.445,137.528,144.631,148.688,143.234,151.994,2018
Turkey,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2009","1,784.37","1,912.68","1,994.01","2,183.34","2,299.75","2,361.78","2,257.99","2,417.19",2019
Turkmenistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Turkmenistan authorities and IMF staff estimates and projections. Latest actual data: 2018 Notes: Data prior to 2009 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008 Chain-weighted: Yes, from 2000",82.722,88.976,95.471,103.562,112.613,121.848,124.884,135.437,2018
Tuvalu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: PFTAC advisors Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,0.034,0.038,0.04,0.043,0.046,0.049,0.049,0.052,2018
Uganda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019. Historical data are in CY, but projections are conversions using averages of FY. For example, the projection of 2018 is the average of 2017/18 and 2018/19. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. FY2013/14  growth estimates agreed upon between staff and the authorities at the time of the second PSI review do not coincide with projections from the Uganda Bureau of Statistics (UBOS). UBOS is to release preliminary outturns in October, 2014 Start/end months of reporting year: January/December Base year: 2016. National Accounts were rebased on a FY basis and this rebasing was then applied to CY historical data.  As a result real GDP and nominal GDP are not equal in CY 2016. Chain-weighted: No",86.427,92.278,95.4,102.082,111.189,118.694,123.653,131.426,2019
Ukraine,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Formally, the State Statistics Service of Ukraine Latest actual data: 2018. Starting in 2014, the data was changed to SNA 2008. Revised National Accounts data is available from 2000 on an annual basis and from 2010 on a quarterly basis. The data excludes Crimea and Sevastopol from 2010.  The revised quarterly GDP data based on SNA 2008 excluding Crimea and Sevastopol are available from 2010. National accounts manual used: System of National Accounts (SNA) 2008. Also, SNA2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. The reference year is 2010. Chain-weighted: Yes, from 2005",374.419,341.344,353.297,369.038,390.415,409.825,380.545,401.794,2018
United Arab Emirates,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,611.978,649.922,676.751,692.881,722.015,744.092,722.67,760.874,2018
United Kingdom,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from before 1980","2,670.67","2,762.03","2,844.17","2,952.56","3,065.04","3,162.41","2,975.56","3,155.97",2019
United States,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980","17,527.28","18,224.78","18,715.05","19,519.40","20,580.25","21,427.68","20,289.99","21,665.90",2019
Uruguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2018 Notes: Data for years between 1994 and last actual for this series are drawn from sources reported by national authorities.  Data prior to 1993 are drawn from previous surveillance work and reflect the staff's best effort to preserve previously reported data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,71.615,72.629,74.621,77.997,81.191,82.791,80.817,86.512,2018
Uzbekistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,211.111,229.196,245.681,261.476,282.31,303.317,310.738,338.973,2018
Vanuatu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,0.686,0.694,0.726,0.772,0.813,0.851,0.829,0.886,2018
Venezuela,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1997. This is not an index. 1997 is the year in which nominal and real GDP have the same value. Chain-weighted: No,543.671,515.155,431.796,370.985,305.457,202.009,n/a,n/a,2018
Vietnam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019. Vietnam on December 2019 formally revised up its gross domestic product by 25.4 percent for the 2010-2017 period, following efforts to align its official statistical methodology with international standards. The revised 2018-19 GDP will be released in Jun 2020. For this submission, the team estimate revised 2018-19 GDP following the same nominal growth rate as in the unrevised series. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No",660.486,713.992,769.646,838.561,919.772,"1,001.48","1,035.05","1,129.10",2019
Yemen,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: IMF Staff Estimates Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No,104.426,75.976,69.566,67.281,69.439,72.133,70.414,76.167,2017
Zambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,59.934,62.326,65.337,68.914,73.441,75.857,73.662,76.862,2018
Zimbabwe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019. Data before 2009 are unreliable Notes: The Zimbabwe dollar ceased circulating in 2009. Between 2009?19 Zimbabwe operated under a multi-currency regime with the US dollar as the unit of account. In 2019, Zimbabwe authorities introduced the RTGS dollar, later renamed the Zimbabwe dollar and are currently redenominating their national accounts statistics. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No",35.966,36.991,37.651,40.165,42.582,39.739,37.039,38.711,2019
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2020",,,,,,,,,,,,,
